iso3,country,year,phase_type,ipc_phase,population_total,gdp_current_usd,poverty_rate,brd_deaths,one_sided_deaths,Climate: Standard Deviation,Climate: Temperature change,Crop: Maize (corn) - Production,Crop: Maize (corn) - Yield,Crop: Millet - Production,Crop: Millet - Yield,Crop: Rice - Production,Crop: Rice - Yield,Crop: Sorghum - Production,Crop: Sorghum - Yield,Crop: Wheat - Production,Crop: Wheat - Yield
SWZ,Eswatini,2020,proj1,2,1192729,4120621325,,,,0.674588235,0.727176471,87000,1279.4,,,1000,3111.1,1000,1000,701.89,1861.2
SWZ,Eswatini,2020,proj2,1,1192729,4120621325,,,,0.674588235,0.727176471,87000,1279.4,,,1000,3111.1,1000,1000,701.89,1861.2
SWZ,Eswatini,2021,current,2,1206593,4785708166,,,,0.674588235,0.518,100042,1429.2,,,1000,3177.1,91,903.8,706.01,1863.2
SWZ,Eswatini,2021,proj1,2,1206593,4785708166,,,,0.674588235,0.518,100042,1429.2,,,1000,3177.1,91,903.8,706.01,1863.2
SWZ,Eswatini,2021,proj2,1,1206593,4785708166,,,,0.674588235,0.518,100042,1429.2,,,1000,3177.1,91,903.8,706.01,1863.2
SWZ,Eswatini,2022,current,1,1218917,4741163885,,,,0.674588235,1.08,127315,1591.4,,,1000,3148,146.4,859.7,707.52,1864.8
SWZ,Eswatini,2022,proj1,1,1218917,4741163885,,,,0.674588235,1.08,127315,1591.4,,,1000,3148,146.4,859.7,707.52,1864.8
SWZ,Eswatini,2022,proj2,1,1218917,4741163885,,,,0.674588235,1.08,127315,1591.4,,,1000,3148,146.4,859.7,707.52,1864.8
SWZ,Eswatini,2023,current,1,1230506,4604172127,,,,0.674588235,0.834235294,85202,1217.2,,,1000.63,3118.9,265.22,880.5,705.14,1863.1
SWZ,Eswatini,2023,proj1,1,1230506,4604172127,,,,0.674588235,0.834235294,85202,1217.2,,,1000.63,3118.9,265.22,880.5,705.14,1863.1
SWZ,Eswatini,2023,proj2,1,1230506,4604172127,,,,0.674588235,0.834235294,85202,1217.2,,,1000.63,3118.9,265.22,880.5,705.14,1863.1
SWZ,Eswatini,2024,current,1,1242822,4891883720,,,,0.674588235,1.205,,,,,,,,,,
SWZ,Eswatini,2024,proj1,2,1242822,4891883720,,,,0.674588235,1.205,,,,,,,,,,
SWZ,Eswatini,2024,proj2,1,1242822,4891883720,,,,0.674588235,1.205,,,,,,,,,,
SWZ,Eswatini,2025,current,1,,,,,,,,,,,,,,,,,
SWZ,Eswatini,2025,proj1,2,,,,,,,,,,,,,,,,,
SWZ,Eswatini,2025,proj2,1,,,,,,,,,,,,,,,,,
TCD,Chad,2020,current,1,17224679,14932897821,,196,,0.642,0.879823529,407371.45,1202.9,686584.39,591.7,278052.85,1469.8,970241.64,839.7,1815,1809.6
TCD,Chad,2020,proj1,1,17224679,14932897821,,196,,0.642,0.879823529,407371.45,1202.9,686584.39,591.7,278052.85,1469.8,970241.64,839.7,1815,1809.6
TCD,Chad,2020,proj2,1,17224679,14932897821,,196,,0.642,0.879823529,407371.45,1202.9,686584.39,591.7,278052.85,1469.8,970241.64,839.7,1815,1809.6
TCD,Chad,2021,current,1,17828273,16871937698,,486,,0.642,1.052411765,364630.68,1123.6,621367.26,555.9,242646.7,1318.1,895778,793,1539.53,1922.5
TCD,Chad,2021,proj1,1,17828273,16871937698,,486,,0.642,1.052411765,364630.68,1123.6,621367.26,555.9,242646.7,1318.1,895778,793,1539.53,1922.5
TCD,Chad,2021,proj2,1,17828273,16871937698,,486,,0.642,1.052411765,364630.68,1123.6,621367.26,555.9,242646.7,1318.1,895778,793,1539.53,1922.5
TCD,Chad,2022,current,1,18455316,17828508290,39.5,35,,0.642,0.410647059,363985,1121,694196,581.4,231965,1309.7,966571,844.9,1205,1865.3
TCD,Chad,2022,proj1,1,18455316,17828508290,39.5,35,,0.642,0.410647059,363985,1121,694196,581.4,231965,1309.7,966571,844.9,1205,1865.3
TCD,Chad,2022,proj2,1,18455316,17828508290,39.5,35,,0.642,0.410647059,363985,1121,694196,581.4,231965,1309.7,966571,844.9,1205,1865.3
TCD,Chad,2023,current,1,19319064,19107685021,,61,,0.642,1.316,354241,1105.1,634079,556.5,223952,1276.2,877520,795.1,1399,1929.7
TCD,Chad,2023,proj1,1,19319064,19107685021,,61,,0.642,1.316,354241,1105.1,634079,556.5,223952,1276.2,877520,795.1,1399,1929.7
TCD,Chad,2023,proj2,1,19319064,19107685021,,61,,0.642,1.316,354241,1105.1,634079,556.5,223952,1276.2,877520,795.1,1399,1929.7
TCD,Chad,2024,current,1,20299123,20625711665,,,,0.642,1.553,,,,,,,,,,
TCD,Chad,2024,proj1,1,20299123,20625711665,,,,0.642,1.553,,,,,,,,,,
TCD,Chad,2024,proj2,1,20299123,20625711665,,,,0.642,1.553,,,,,,,,,,
TCD,Chad,2025,current,1,,,,,,,,,,,,,,,,,
TCD,Chad,2025,proj1,1,,,,,,,,,,,,,,,,,
TCD,Chad,2025,proj2,1,,,,,,,,,,,,,,,,,
TGO,Togo,2020,current,1,8669720,7400284168,,,,0.394647059,1.234235294,885030,1226,27237,600.1,159852,1684.5,279105,896.7,,
TGO,Togo,2020,proj1,1,8669720,7400284168,,,,0.394647059,1.234235294,885030,1226,27237,600.1,159852,1684.5,279105,896.7,,
TGO,Togo,2020,proj2,1,8669720,7400284168,,,,0.394647059,1.234235294,885030,1226,27237,600.1,159852,1684.5,279105,896.7,,
TGO,Togo,2021,current,1,8878379,8342243646,34.7,,,0.394647059,1.600705882,929020,1230.2,27636,593.1,165541,1686.9,276986,876.4,,
TGO,Togo,2021,proj1,1,8878379,8342243646,34.7,,,0.394647059,1.600705882,929020,1230.2,27636,593.1,165541,1686.9,276986,876.4,,
TGO,Togo,2021,proj2,1,8878379,8342243646,34.7,,,0.394647059,1.600705882,929020,1230.2,27636,593.1,165541,1686.9,276986,876.4,,
TGO,Togo,2022,current,1,9089738,8169476149,,34,,0.394647059,0.990411765,957047,1253.8,27915,594.7,169608,1696.8,280809,884.2,,
TGO,Togo,2022,proj1,1,9089738,8169476149,,34,,0.394647059,0.990411765,957047,1253.8,27915,594.7,169608,1696.8,280809,884.2,,
TGO,Togo,2022,proj2,1,9089738,8169476149,,34,,0.394647059,0.990411765,957047,1253.8,27915,594.7,169608,1696.8,280809,884.2,,
TGO,Togo,2023,current,1,9304337,9171261838,,29,,0.394647059,1.435764706,1013000,1254.3,25735.32,653.7,183100,1608.6,288000,886.4,,
TGO,Togo,2023,proj1,1,9304337,9171261838,,29,,0.394647059,1.435764706,1013000,1254.3,25735.32,653.7,183100,1608.6,288000,886.4,,
TGO,Togo,2023,proj2,1,9304337,9171261838,,29,,0.394647059,1.435764706,1013000,1254.3,25735.32,653.7,183100,1608.6,288000,886.4,,
TGO,Togo,2024,current,1,9515236,9925732120,,46,,0.394647059,1.701882353,,,,,,,,,,
TGO,Togo,2024,proj1,1,9515236,9925732120,,46,,0.394647059,1.701882353,,,,,,,,,,
TGO,Togo,2024,proj2,1,9515236,9925732120,,46,,0.394647059,1.701882353,,,,,,,,,,
TLS,Timor-Leste,2018,current,2,1275959,1555988614,,,,0.497235294,0.432588235,86213.78,2144.5,,,57000,3352.9,,,,
TLS,Timor-Leste,2018,proj1,1,1275959,1555988614,,,,0.497235294,0.432588235,86213.78,2144.5,,,57000,3352.9,,,,
TLS,Timor-Leste,2018,proj2,1,1275959,1555988614,,,,0.497235294,0.432588235,86213.78,2144.5,,,57000,3352.9,,,,
